QKEY,INTERVIEW_START_W119,INTERVIEW_END_W119,DEVICE_TYPE_W119,LANG_W119,FORM_W119,DESRISK_COMF_W119,DESRISK_CREAT_W119,DESRISK_NTECH_W119,RISK2_W119,AI_HEARD_W119,CNCEXC_W119,USEAI_W119,AIKNOW1_W119,AIKNOW2_W119,AIKNOW3_W119,AIKNOW5_W119,AIKNOW6_W119,AIKNOW7_W119,AIKNOW1_CORRECT_W119,AIKNOW2_CORRECT_W119,AIKNOW3_CORRECT_W119,AIKNOW5_CORRECT_W119,AIKNOW6_CORRECT_W119,AIKNOW7_CORRECT_W119,AIKNOW_INDEX_W119,AIHCCOMF_W119,AIHCTRT1_W119,AIHCTRT2_W119,MEDBIAS_W119,AIHCCHG_QUAL_W119,AIHCCHG_MIST_W119,AIHCCHG_REL_W119,AIHCCHG_RACETHN_W119,AIHCCHG_SECUR_W119,HCMEDBIAS_W119,BIASBETR_OE1_W119,BIASBETR_OE2_W119,BIASBETR_OE3_W119,BIASBETR_REFUSED_W119,BIASWORS_OE1_W119,BIASWORS_OE2_W119,BIASWORS_OE3_W119,BIASWORS_REFUSED_W119,BIASSAME_OE1_W119,BIASSAME_OE2_W119,BIASSAME_OE3_W119,BIASSAME_REFUSED_W119,SCDETECT1_W119,SCDETECT2_W119,SCDETECT3_W119,SCDETECT4_W119,AIMH1_W119,AIMH2_W119,AIMH3_W119,AIMH5_W119,AIPAIN1_W119,AIPAIN2_W119,AIPAIN3_W119,AIPAIN4_W119,SROBOT1_W119,SROBOT2_W119,SROBOT3_W119,AIPROT1_W119,AIPROT2_W119,AICROP1_W119,AICROP2_W119,AIEXT1_W119,AIEXT2_W119,AINEWS1_W119,AINEWS2_W119,AIIMAG1_W119,AIIMAG2_W119,EMPLSIT_W119,JOBAPPYR_W119,INDUSTRYCOMBO_W119,AIWRK2_a_W119,AIWRK2_b_W119,AIWRK2_c_W119,AIWRK3_a_W119,AIWRK3_b_W119,AIWRK3_c_W119,AIWRKH1_W119,AIWRKH2_a_W119,AIWRKH2_b_W119,AIWRKH3_a_W119,AIWRKH3_b_W119,AIWRKH3_c_W119,AIWRKH3_d_W119,AIWRKH4_W119,AIWRKH5Y_OE1_W119,AIWRKH5Y_OE2_W119,AIWRKH5Y_OE3_W119,AIWRKH5Y_REFUSED_W119,AIWRKH5N_OE1_W119,AIWRKH5N_OE2_W119,AIWRKH5N_OE3_W119,AIWRKH5N_REFUSED_W119,HIREBIAS1_W119,HIREBIAS2_W119,AIWRKM1_W119,AIWRKM2_a_W119,AIWRKM2_b_W119,AIWRKM2_c_W119,AIWRKM2_d_W119,AIWRKM2_e_W119,AIWRKM2_f_W119,AIWRKM3_a_W119,AIWRKM3_b_W119,AIWRKM3_c_W119,AIWRKM3_d_W119,AIWRKM3_e_W119,AIWRKM3_f_W119,AIWRKM4_a_W119,AIWRKM4_b_W119,EVALBIAS1_W119,EVALBIAS2_W119,FACERECWK1_W119,FACERECWK2_a_W119,FACERECWK2_b_W119,FACERECWK2_c_W119,FACERECWK3_a_W119,FACERECWK3_b_W119,FACERECWK3_c_W119,TWITTER1_MOD_W119,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W119
100314,12/13/2022 23:12:27,12/13/2022 23:23:59,2,1,1,4,3,4,2,3,2,5,2,9,9,9,9,3,0,0,0,0,0,0,0,1,3,1,3,3,3,3,3,3,3, , , ,0, , , ,0, , , ,0,3,9,2,3,3,9,3,3, , , , , , , ,3,9,3,9, , ,3,9, , ,5,2, ,9,9,9,9,9,9,3,9,9,9,9,9,9,1,99, , ,99, , , ,0,3, ,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3, ,3,9,9,9,9,9,9,2,2,2,3,3,4,1,2,3,2, ,1,1,1,1,1,3,1,1,1,5,1, ,1,1,1,4,2,5,1,2,0.5225441356003111
100363,12/13/2022 19:50:59,12/13/2022 20:05:29,2,1,2,3,3,2,1,2,1,3,1,2,3,1,3,2,1,1,1,1,1,1,6,2,1,2,2,1,1,3,1,2,2,10, , ,1, , , ,0, , , ,0, , , , , , , , ,3,3,3,2,2,2,2, , , , ,3,2, , ,3,3,2,1,2,1,2,1,3,2,2,2,2,2,2,2,2,2,2, , , ,0,4,1, ,1,2,3,3,9,1,9,9,1,1,3,2,2,2,2,2,1,1,2,2,2,1,2,9,3,3,2,2,1,1,2,2,2,2,1,6,2, ,1,1,1,1,1,1,2,2,2,4,2, ,2,3,1,9,3,2,1,3,0.38260973584701385
100598,12/14/2022 16:30:21,12/14/2022 16:47:21,1,1,1,4,4,3,2,2,2,1,1,2,3,1,3,2,1,1,1,1,1,1,6,3,3,1,3,3,2,2,3,3,2, , , ,0, , , ,0, , , ,0,3,2,3,3,3,2,3,1, , , , , , , ,3,2,3,1, , ,3,2, , ,1,2,6,1,2,1,2,2,2,3,1,2,3,1,1,1,2, , , ,0,1, , ,1,2,3,3,9,1,9,1,9,1,2,2,2,2,2,2,1,1,2,3,2,1,2,9,9,2,2,2,1,4,9,2,3,2,1,6,2, ,1,1,1,1,1,1,1,2,1,5,1, ,1,1,1,9,2,2,1,3,0.43279860042765544
100637,12/14/2022 08:22:09,12/14/2022 08:33:45,1,1,2,2,1,3,2,2,3,3,1,9,9,1,9,9,1,0,0,1,0,0,2,3,1,1,3,1,3,3,3,3,3, , , ,0, , , ,0,10, , ,1, , , , , , , , ,1,3,4,2,2,9,3, , , , ,2,1, , ,3,9,3,2, ,99,3,9,9,9,9,3,2,2,9,2,2,2,2, , , ,0,1, , ,1,3, ,3,2,2,2,9,2,2,3,2,9,9,3,1,2,2,3, ,3,1,2,2,9,9,1,1,1,3,5,3,4,2,2,4,2, ,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,5,2,3,2,2,0.6711143997839365
100803,12/15/2022 09:05:46,12/15/2022 09:22:29,1,1,2,3,3,4,1,3,2,4,9,3,9,1,3,2,0,0,0,1,1,1,3,3,2,1,3,2,2,2,3,3,2,20, , ,1, , , ,0, , , ,0, , , , , , , , ,3,9,4,1,2,1,2, , , , ,3,9, , ,3,9,5,2, ,2,3,2,2,9,2,3,2,2,2,2,2,2,2, , , ,0,1, , ,1,2,4,3,2,2,2,2,2,2,2,1,2,3,9,1,2,9,2,4,3,1,2,1,3,2,2,2,2,2,4,3,4,1,1,5,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,1,9,2,4,1,3,0.1961773690491721
101224,12/13/2022 15:01:14,12/13/2022 15:40:02,2,1,2,3,5,5,1,3,2,5,9,9,9,9,9,9,0,0,0,0,0,0,0,4,2,1,2,2,2,2,2,2,5, , , ,0,99, , ,99, , , ,0, , , , , , , , ,3,9,4,2,3,9,4, , , , ,3,9, , ,3,9,5,2, ,9,9,9,9,9,9,3,9,9,9,9,9,9,2, , , ,0,99, , ,99,2,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,5,3,9,9,9,9,9,9,2,1,3,5,3,4,1,2,3,2, ,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,4,2,5,1,2,0.5857738233353291
101437,12/13/2022 22:27:08,12/13/2022 22:53:04,1,1,2,4,3,4,1,1,2,5,1,1,3,1,3,4,1,0,1,1,1,0,4,3,2,1,3,2,2,2,3,2,3, , , ,0, , , ,0,10, , ,1, , , , , , , , ,3,9,4,2,3,3,4, , , , ,1,3, , ,2,3,4,2, ,1,3,1,3,3,3,3,2,2,2,2,2,2,2, , , ,0,1, , ,1,3, ,3,2,2,2,2,2,2,3,2,3,3,3,2,2,2,3, ,2,2,2,2,2,2,1,2,2,2,4,3,3,2,2,4,2, ,1,1,1,1,1,3,1,1,1,2,1, ,1,1,1,1,1,2,2,1,0.5215485918687908
101493,12/13/2022 16:12:32,12/17/2022 21:55:46,1,1,2,2,2,1,1,1,2,1,1,2,3,1,3,2,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1,1,1,20,41, ,1, , , ,0, , , ,0, , , , , , , , ,3,1,2,1,1,1,1, , , , ,2,1, , ,3,3,4,2, ,1,3,2,1,9,2,2,2,2,2,1,3,2,2, , , ,0,1, , ,1,1,2,1,2,2,2,2,2,2,1,3,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,4,9,3,3,1,2,3,1,1,1,1,3,1,1,1,10, ,3,6,1, ,1,1,1,7,2,2,2,2,0.46619072455732447
102198,12/15/2022 15:50:44,12/16/2022 17:19:44,1,1,2,3,2,3,1,1,2,2,1,2,2,1,4,2,1,1,0,1,0,1,4,3,3,2,2,3,3,2,2,2,4, , , ,0,20, , ,1, , , ,0, , , , , , , , ,3,3,2,3,2,2,3, , , , ,3,2, , ,2,3,2,1,5,1,1,1,3,2,9,2,2,1,9,3,2,1,2, , , ,0,1, , ,1,2,3,3,2,2,2,1,1,2,4,1,2,3,3,1,9,9,3, ,3,9,2,1,2,2,1,2,1,1,2,2,1,2,1,5,2, ,1,1,1,1,1,6,1,1,1,1,1, ,1,1,1,8,2,1,1,2,0.9825414226708545
103060,12/13/2022 23:51:38,12/15/2022 12:07:45,2,1,1,4,2,3,1,1,3,1,2,2,3,1,3,9,0,1,1,1,1,0,4,3,2,1,1,1,1,1,1,1,2, , , ,0, , , ,0, , , ,0,3,1,1,1,3,9,4,3, , , , , , , ,3,1,3,1, , ,3,1, , ,5,2, ,1,3,1,2,9,2,3,1,2,1,1,1,3,2, , , ,0,7,1, ,1,1,1,3,1,2,9,1,1,1,3,2,2,2,9,2,1,9,1,2,3,1,1,1,9,9,9,2,1,3,5,2,4,2,2,4,2, ,1,1,1,1,1,1,12, ,3,6,2, ,2,4,1,99,4,2,2,99,0.4218299210471681
